Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Clicked on Ad,Ad Topic Line,City,Male,Country,Timestamp
62.94,18,57887.86,116.79,1,Configurable,Chicago,1,Canada,2016-01-04 16:02:24.723618090
39.51,32,88096.61,179.91,0,Sharable,Los Angeles,1,UK,2016-01-04 16:02:24.723618090
64.14,46,38288.91,157.39,0,Triple-buffered,New York,1,Australia,2016-01-04 16:02:24.723618090
64.91,48,49747.72,242.56,0,Reactive,Phoenix,1,USA,2016-01-04 16:02:24.723618090
69.92,35,49799.91,225.55,0,Optimized,Phoenix,1,Australia,2016-01-04 16:02:24.723618090
55.63,30,74598.38,184.65,0,Sharable,Houston,1,USA,2016-01-04 16:02:24.723618090
71.65,32,38744.37,212.11,0,Triple-buffered,New York,1,USA,2016-01-04 16:02:24.723618090
50.75,24,79314.62,155.53,1,Triple-buffered,Chicago,0,USA,2016-01-04 16:02:24.723618090
46.39,30,19802.72,227.59,1,Configurable,Houston,1,Australia,2016-01-04 16:02:24.723618090
56.22,42,38471.53,199.94,0,Reactive,Houston,0,Canada,2016-01-04 16:02:24.723618090
34.7,58,43178.26,234.88,1,Configurable,Phoenix,0,India,2016-01-04 16:02:24.723618090
76.38,28,66839.66,162.31,0,Reactive,Los Angeles,0,Australia,2016-01-04 16:02:24.723618090
75.74,41,68058.41,215.94,0,Reactive,New York,1,India,2016-01-04 16:02:24.723618090
84.88,28,46536.59,155.5,0,Triple-buffered,Los Angeles,1,Canada,2016-01-04 16:02:24.723618090
72.05,27,45901.93,153.67,1,Optimized,Chicago,1,India,2016-01-04 16:02:24.723618090
63.99,18,51374.12,213.28,1,Configurable,New York,1,Australia,2016-01-04 16:02:24.723618090
75.91,19,58920.47,118.29,0,Optimized,New York,0,Canada,2016-01-04 16:02:24.723618090
59.52,40,47036.2,173.47,1,Sharable,Houston,1,UK,2016-01-04 16:02:24.723618090
90.29,30,31182.3,263.89,1,Triple-buffered,Houston,1,Canada,2016-01-04 16:02:24.723618090
56.26,18,55245.16,181.32,1,Configurable,Los Angeles,0,India,2016-01-04 16:02:24.723618090
34.15,27,59587.05,254.9,1,Reactive,New York,1,UK,2016-01-04 16:02:24.723618090
81.97,33,58881.74,169.75,1,Triple-buffered,Chicago,1,Canada,2016-01-04 16:02:24.723618090
60.29,33,51624.71,280.39,1,Optimized,New York,0,India,2016-01-04 16:02:24.723618090
38.64,51,47360.82,182.21,1,Reactive,Los Angeles,1,Australia,2016-01-04 16:02:24.723618090
62.1,28,48940.07,154.58,1,Triple-buffered,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
75.02,31,37878.4,213.67,1,Sharable,Phoenix,0,UK,2016-01-04 16:02:24.723618090
63.18,50,58773.89,132.17,1,Reactive,Houston,1,Australia,2016-01-04 16:02:24.723618090
82.35,31,59240.08,165.65,1,Optimized,Chicago,1,USA,2016-01-04 16:02:24.723618090
69.3,20,47229.17,109.49,0,Configurable,Phoenix,1,Canada,2016-01-04 16:02:24.723618090
100.29,32,53387.28,274.85,1,Reactive,Phoenix,0,Canada,2016-01-04 16:02:24.723618090
78.38,34,48779.01,156.5,1,Optimized,Houston,1,UK,2016-01-04 16:02:24.723618090
57.78,34,64653.85,125.69,1,Configurable,Houston,0,USA,2016-01-04 16:02:24.723618090
82.63,38,53163.86,181.96,0,Sharable,New York,1,USA,2016-01-04 16:02:24.723618090
88.97,47,80054.64,159.21,1,Reactive,Houston,0,Australia,2016-01-04 16:02:24.723618090
58.29,35,69503.77,84.72,1,Configurable,New York,0,Australia,2016-01-04 16:02:24.723618090
75.89,28,90790.78,194.28,1,Sharable,New York,1,Australia,2016-01-04 16:02:24.723618090
51.21,26,66229.82,182.39,0,Triple-buffered,Chicago,0,UK,2016-01-04 16:02:24.723618090
71.19,24,41763.41,267.26,0,Triple-buffered,Houston,0,Canada,2016-01-04 16:02:24.723618090
60.97,52,57803.54,239.91,0,Configurable,Los Angeles,0,India,2016-01-04 16:02:24.723618090
78.74,48,70785.84,220.95,0,Reactive,Houston,0,USA,2016-01-04 16:02:24.723618090
65.08,37,52250.05,151.51,0,Triple-buffered,Chicago,0,India,2016-01-04 16:02:24.723618090
74.37,26,76403.98,220.2,1,Sharable,Los Angeles,0,UK,2016-01-04 16:02:24.723618090
69.13,47,35712.16,255.8,1,Configurable,New York,1,USA,2016-01-04 16:02:24.723618090
92.44,47,78909.88,214.03,1,Sharable,Chicago,1,Australia,2016-01-04 16:02:24.723618090
58.85,41,61053.7,170.68,0,Triple-buffered,Houston,0,UK,2016-01-04 16:02:24.723618090
80.88,35,35129.77,201.25,0,Triple-buffered,New York,1,India,2016-01-04 16:02:24.723618090
76.44,48,83660.1,238.96,1,Sharable,Chicago,0,USA,2016-01-04 16:02:24.723618090
52.75,34,68156.43,203.95,1,Reactive,New York,1,UK,2016-01-04 16:02:24.723618090
78.45,32,70424.95,199.6,0,Optimized,Phoenix,1,UK,2016-01-04 16:02:24.723618090
41.62,31,70691.4,217.08,0,Triple-buffered,Phoenix,1,UK,2016-01-04 16:02:24.723618090
51.13,31,65157.53,235.74,0,Triple-buffered,Phoenix,0,UK,2016-01-04 16:02:24.723618090
74.85,18,64089.69,189.19,0,Configurable,Houston,0,UK,2016-01-04 16:02:24.723618090
64.15,29,76477.58,238.55,1,Configurable,Phoenix,1,Australia,2016-01-04 16:02:24.723618090
73.77,42,58070.92,277.81,0,Triple-buffered,Phoenix,0,Canada,2016-01-04 16:02:24.723618090
71.33,34,62594.77,199.34,1,Triple-buffered,Houston,1,India,2016-01-04 16:02:24.723618090
41.25,24,56273.38,297.49,0,Sharable,New York,1,Australia,2016-01-04 16:02:24.723618090
53.23,39,33268.19,169.73,0,Triple-buffered,Phoenix,1,India,2016-01-04 16:02:24.723618090
60.37,22,87465.42,236.38,0,Configurable,Houston,0,UK,2016-01-04 16:02:24.723618090
86.44,40,80138.05,242.95,0,Reactive,Chicago,0,UK,2016-01-04 16:02:24.723618090
78.81,38,49345.49,175.1,1,Reactive,New York,1,UK,2016-01-04 16:02:24.723618090
59.05,30,88504.24,273.77,0,Reactive,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
64.55,47,64440.41,252.3,1,Optimized,Chicago,0,USA,2016-01-04 16:02:24.723618090
92.52,38,51129.26,89.93,0,Configurable,Phoenix,0,UK,2016-01-04 16:02:24.723618090
86.15,53,71429.44,242.59,0,Sharable,Houston,0,India,2016-01-04 16:02:24.723618090
82.72,44,71683.14,147.36,1,Configurable,Chicago,1,Australia,2016-01-04 16:02:24.723618090
63.62,38,55137.12,162.65,1,Configurable,New York,0,USA,2016-01-04 16:02:24.723618090
48.43,48,62632.89,245.85,1,Reactive,New York,1,India,2016-01-04 16:02:24.723618090
81.28,50,50314.8,190.5,0,Optimized,Phoenix,1,India,2016-01-04 16:02:24.723618090
72.67,27,50580.13,210.91,0,Optimized,Chicago,0,Australia,2016-01-04 16:02:24.723618090
69.52,30,57139.03,190.76,0,Configurable,Los Angeles,1,Canada,2016-01-04 16:02:24.723618090
54.08,28,46284.4,208.14,0,Triple-buffered,Los Angeles,0,India,2016-01-04 16:02:24.723618090
78.59,26,82491.78,198.88,0,Sharable,New York,0,Canada,2016-01-04 16:02:24.723618090
86.25,49,83249.44,250.68,0,Configurable,Los Angeles,0,UK,2016-01-04 16:02:24.723618090
79.25,39,51017.95,256.88,1,Sharable,Phoenix,1,India,2016-01-04 16:02:24.723618090
72.01,40,72296.53,273.02,0,Triple-buffered,Phoenix,1,USA,2016-01-04 16:02:24.723618090
73.31,33,66761.31,163.09,0,Triple-buffered,Chicago,1,Australia,2016-01-04 16:02:24.723618090
52.92,35,100619.14,166.91,1,Reactive,Houston,0,Canada,2016-01-04 16:02:24.723618090
40.43,48,89140.07,299.58,1,Optimized,Phoenix,0,Australia,2016-01-04 16:02:24.723618090
72.79,18,50598.14,255.07,0,Configurable,Phoenix,0,UK,2016-01-04 16:02:24.723618090
67.49,42,62074.09,240.42,0,Configurable,New York,1,UK,2016-01-04 16:02:24.723618090
59.98,31,49088.56,197.56,1,Configurable,Phoenix,0,USA,2016-01-04 16:02:24.723618090
88.27,29,54706.98,172.02,0,Reactive,Phoenix,1,Australia,2016-01-04 16:02:24.723618090
41.96,51,53803.94,209.7,1,Sharable,Los Angeles,0,Australia,2016-01-04 16:02:24.723618090
86.39,27,40008.94,263.79,1,Configurable,Los Angeles,1,Australia,2016-01-04 16:02:24.723618090
73.28,44,74703.35,209.68,1,Optimized,Phoenix,0,USA,2016-01-04 16:02:24.723618090
77.3,45,65148.87,213.1,1,Optimized,Los Angeles,0,USA,2016-01-04 16:02:24.723618090
42.64,25,63276.14,211.96,0,Reactive,Chicago,0,USA,2016-01-04 16:02:24.723618090
101.37,36,69273.24,202.81,0,Reactive,Los Angeles,0,India,2016-01-04 16:02:24.723618090
58.71,42,19100.02,254.69,1,Sharable,Chicago,1,India,2016-01-04 16:02:24.723618090
76.74,42,63764.09,224.31,1,Configurable,Los Angeles,1,Canada,2016-01-04 16:02:24.723618090
39.6,37,25575.11,214.21,0,Triple-buffered,Los Angeles,1,UK,2016-01-04 16:02:24.723618090
92.25,24,35211.39,238.12,0,Optimized,Houston,0,Australia,2016-01-04 16:02:24.723618090
42.95,36,86754.74,152.27,0,Sharable,Houston,1,Canada,2016-01-04 16:02:24.723618090
68.29,18,61407.38,247.42,1,Sharable,Phoenix,1,India,2016-01-04 16:02:24.723618090
50.99,21,96482.81,179.06,1,Configurable,Houston,1,Canada,2016-01-04 16:02:24.723618090
40.97,42,74604.5,196.15,0,Reactive,Phoenix,0,Australia,2016-01-04 16:02:24.723618090
66.44,38,60583.79,261.46,1,Triple-buffered,Phoenix,1,India,2016-01-04 16:02:24.723618090
69.66,42,51243.96,250.72,0,Triple-buffered,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
46.21,23,69812.36,129.73,0,Sharable,Houston,0,Australia,2016-01-04 16:02:24.723618090
65.69,44,74715.37,105.74,0,Sharable,Chicago,0,Canada,2016-01-04 16:02:24.723618090
58.68,26,54596.8,143.07,0,Triple-buffered,Chicago,1,Canada,2016-01-04 16:02:24.723618090
40.38,30,61556.17,206.42,0,Optimized,Los Angeles,1,USA,2016-01-04 16:02:24.723618090
55.75,37,75646.49,217.86,0,Optimized,Phoenix,1,India,2016-01-04 16:02:24.723618090
34.39,42,59666.33,228.35,1,Reactive,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
48.07,41,44780.43,225.11,1,Triple-buffered,Chicago,1,Canada,2016-01-04 16:02:24.723618090
65.53,26,34412.17,207.04,1,Sharable,Houston,0,USA,2016-01-04 16:02:24.723618090
68.67,30,91365.88,189.65,1,Triple-buffered,New York,1,Canada,2016-01-04 16:02:24.723618090
111.85,28,41595.32,309.78,1,Sharable,Phoenix,0,UK,2016-01-04 16:02:24.723618090
70.8,35,75138.12,199.55,0,Configurable,Houston,1,Australia,2016-01-04 16:02:24.723618090
48.68,53,45364.48,134.63,1,Triple-buffered,Chicago,1,UK,2016-01-04 16:02:24.723618090
71.28,40,62953.72,148.24,1,Configurable,Phoenix,0,Australia,2016-01-04 16:02:24.723618090
86.32,42,54551.28,194.27,1,Optimized,Phoenix,1,USA,2016-01-04 16:02:24.723618090
61.49,37,48504.54,256.33,1,Triple-buffered,Chicago,0,USA,2016-01-04 16:02:24.723618090
65.63,21,42519.73,218.29,1,Reactive,Houston,0,UK,2016-01-04 16:02:24.723618090
60.68,35,68442.67,308.93,0,Triple-buffered,Phoenix,0,Canada,2016-01-04 16:02:24.723618090
90.01,35,69900.37,241.11,1,Triple-buffered,Phoenix,0,Canada,2016-01-04 16:02:24.723618090
38.32,45,21490.91,211.61,0,Configurable,New York,1,Australia,2016-01-04 16:02:24.723618090
87.7,36,32902.68,241.45,1,Triple-buffered,Phoenix,0,Australia,2016-01-04 16:02:24.723618090
71.67,36,48145.88,85.51,0,Reactive,Chicago,0,USA,2016-01-04 16:02:24.723618090
74.6,32,66433.58,234.31,1,Sharable,Houston,0,Australia,2016-01-04 16:02:24.723618090
47.32,44,26751.78,174.35,1,Reactive,Phoenix,1,Canada,2016-01-04 16:02:24.723618090
43.12,35,59762.55,256.67,0,Sharable,Phoenix,1,India,2016-01-04 16:02:24.723618090
41.99,36,63485.72,207.94,1,Optimized,Los Angeles,1,India,2016-01-04 16:02:24.723618090
78.32,26,64027.52,271.14,1,Triple-buffered,Los Angeles,0,UK,2016-01-04 16:02:24.723618090
47.76,21,52456.23,282.4,0,Optimized,New York,1,India,2016-01-04 16:02:24.723618090
55.98,27,48751.51,294.99,1,Reactive,Phoenix,0,Canada,2016-01-04 16:02:24.723618090
88.35,29,76414.62,335.22,1,Triple-buffered,Phoenix,1,USA,2016-01-04 16:02:24.723618090
66.11,23,52538.37,189.05,0,Optimized,New York,0,USA,2016-01-04 16:02:24.723618090
49.48,18,61083.79,150.37,1,Configurable,Chicago,1,UK,2016-01-04 16:02:24.723618090
63.48,27,48778.86,186.49,0,Reactive,Phoenix,1,Canada,2016-01-04 16:02:24.723618090
57.2,38,70326.12,269.46,0,Optimized,Chicago,1,USA,2016-01-04 16:02:24.723618090
60.96,35,74340.22,132.51,1,Reactive,Houston,0,India,2016-01-04 16:02:24.723618090
56.11,31,79718.02,164.2,1,Configurable,Phoenix,0,Canada,2016-01-04 16:02:24.723618090
91.08,36,59387.39,159.3,1,Configurable,Los Angeles,0,Australia,2016-01-04 16:02:24.723618090
78.82,34,44548.33,242.51,0,Configurable,Houston,1,UK,2016-01-04 16:02:24.723618090
55.22,27,69670.57,171.38,1,Optimized,Los Angeles,1,India,2016-01-04 16:02:24.723618090
68.82,39,39602.33,170.0,1,Reactive,Chicago,0,Canada,2016-01-04 16:02:24.723618090
54.81,34,56605.75,237.22,1,Triple-buffered,Chicago,1,UK,2016-01-04 16:02:24.723618090
76.28,49,43562.62,204.14,0,Reactive,Houston,1,India,2016-01-04 16:02:24.723618090
81.06,26,54639.37,181.65,1,Reactive,Chicago,1,Australia,2016-01-04 16:02:24.723618090
52.43,36,45352.28,226.0,0,Triple-buffered,Houston,0,USA,2016-01-04 16:02:24.723618090
56.1,24,62640.62,103.82,1,Triple-buffered,Los Angeles,1,Canada,2016-01-04 16:02:24.723618090
40.17,46,65713.76,186.94,1,Configurable,Los Angeles,1,USA,2016-01-04 16:02:24.723618090
53.13,38,60312.41,244.75,1,Reactive,Houston,1,USA,2016-01-04 16:02:24.723618090
53.18,55,63375.62,243.67,0,Reactive,Houston,1,Australia,2016-01-04 16:02:24.723618090
58.95,36,75457.17,100.7,0,Sharable,Los Angeles,1,India,2016-01-04 16:02:24.723618090
72.95,31,77914.85,166.55,0,Optimized,Los Angeles,0,UK,2016-01-04 16:02:24.723618090
67.32,30,87689.08,207.33,1,Optimized,Los Angeles,1,Australia,2016-01-04 16:02:24.723618090
82.3,51,52665.15,231.13,0,Triple-buffered,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
77.07,21,60315.27,176.96,0,Configurable,New York,1,Australia,2016-01-04 16:02:24.723618090
63.01,18,57324.13,223.61,1,Reactive,Los Angeles,1,Canada,2016-01-04 16:02:24.723618090
69.22,34,59031.42,124.25,1,Triple-buffered,Phoenix,0,India,2016-01-04 16:02:24.723618090
56.7,44,57566.03,222.65,1,Sharable,Los Angeles,1,India,2016-01-04 16:02:24.723618090
85.56,24,50607.36,227.13,1,Optimized,Phoenix,0,India,2016-01-04 16:02:24.723618090
