Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Clicked on Ad
33.03,24,48069.09,153.28,1
55.0,24,39603.96,296.53,1
56.08,18,47761.3,162.92,1
64.59,38,45327.22,242.58,1
103.92,34,64657.5,212.08,0
82.18,56,78661.4,194.26,1
89.49,27,79734.36,189.54,0
63.25,26,61583.14,222.19,0
70.91,41,66626.09,146.68,0
55.68,44,57129.07,215.0,1
70.34,33,66784.32,216.87,0
68.79,25,62823.93,87.71,0
90.99,25,65392.58,174.51,0
86.16,39,73729.71,161.5,1
35.32,34,77916.96,304.72,0
72.72,33,45054.71,275.26,0
50.27,19,71777.27,209.5,0
74.16,27,60587.71,195.38,0
71.51,29,70084.58,170.17,1
60.25,24,67014.21,193.61,0
89.15,22,55735.16,218.9,1
82.95,29,61265.82,232.95,0
69.08,18,70775.31,179.62,0
65.7,29,60571.1,286.86,0
64.58,30,48496.42,285.91,0
74.21,27,47645.5,268.38,1
48.86,29,78813.3,129.89,0
47.9,33,60519.44,194.04,0
71.43,19,64918.41,185.59,0
74.44,28,44357.09,197.74,0
72.77,41,74733.3,137.52,0
92.33,34,74136.5,198.92,1
67.76,35,65788.83,243.88,0
54.82,36,59542.92,230.56,0
63.4,35,51413.32,297.63,0
64.82,18,91840.49,283.09,0
69.56,34,69564.44,243.98,1
70.96,33,81593.46,146.79,0
76.38,40,43259.74,147.98,0
64.76,28,61568.01,171.8,0
28.53,26,53163.3,154.83,1
42.09,38,57536.9,230.65,1
107.04,52,42384.24,200.2,0
37.09,37,55536.11,172.46,0
63.69,37,57104.1,194.83,1
76.41,49,93801.41,120.61,1
89.04,31,41443.18,169.19,1
68.9,26,51718.63,253.95,0
94.94,48,58139.63,172.34,0
48.59,24,52630.74,192.44,1
44.66,30,45017.96,147.12,0
83.08,25,63740.0,211.35,1
63.67,35,59681.43,176.29,1
73.47,42,57168.89,253.17,0
44.15,40,74206.16,232.13,1
60.07,35,70599.82,157.41,0
57.56,32,69511.49,151.79,1
70.17,23,44355.48,186.34,1
58.27,33,78552.14,193.08,1
56.67,47,78260.26,215.65,0
81.94,19,58382.45,227.15,1
59.64,26,57301.58,281.72,1
88.41,29,41663.96,233.1,1
85.04,36,59179.6,203.37,1
60.47,53,46146.05,225.3,0
52.91,39,52987.53,165.53,1
69.74,21,68713.92,159.38,0
48.45,36,66814.98,230.78,0
56.96,45,77996.22,224.51,0
52.87,45,66802.71,177.82,1
52.4,40,53518.27,190.37,0
66.46,32,75024.18,240.76,0
31.18,41,57560.17,177.4,0
62.44,38,68517.6,191.52,1
48.74,47,48066.92,270.71,0
66.9,37,47054.59,232.23,0
89.51,44,75423.25,250.82,0
59.34,54,78535.94,213.11,1
70.14,52,61718.17,194.91,1
75.18,37,50889.84,128.25,0
48.23,45,58230.7,164.38,1
66.73,21,54636.18,341.6,0
71.61,35,62252.46,299.61,1
60.59,54,77312.17,201.29,0
32.48,23,80387.71,198.34,0
68.3,33,55907.53,94.73,1
51.36,35,51725.78,201.45,1
76.59,21,64947.26,161.5,0
65.31,39,71654.84,165.58,1
71.67,33,54385.31,315.3,0
66.42,30,75991.05,185.28,1
65.68,34,62565.81,224.29,0
66.23,40,66042.67,223.13,0
91.06,39,49330.14,243.93,0
87.43,28,34997.37,133.16,0
68.08,33,37723.48,276.58,1
76.9,24,58529.53,129.16,0
59.37,35,44932.33,195.0,0
74.05,18,40145.84,231.68,0
47.73,57,43466.19,277.51,1
81.16,30,60480.0,131.08,0
71.58,40,46844.94,207.61,1
70.98,47,94111.2,188.32,1
54.59,25,50063.83,296.12,1
86.22,43,54316.59,109.07,0
26.52,34,67010.77,304.49,1
70.77,25,50318.6,180.37,0
43.73,18,52304.07,186.33,0
87.12,41,51144.54,208.04,0
52.56,46,56146.2,165.43,0
43.64,38,82686.19,241.69,0
64.38,41,52759.49,80.36,0
68.8,30,71445.27,236.94,1
68.59,50,55633.19,179.49,1
68.78,30,67862.94,163.05,0
74.39,32,64945.83,253.05,0
74.93,33,50116.35,241.14,0
64.18,28,40920.66,223.16,1
79.83,35,59831.59,189.91,0
52.63,38,73188.88,158.35,0
68.9,40,42850.86,201.13,0
79.77,34,45568.7,194.68,1
93.51,30,46555.63,180.39,0
70.19,25,42563.73,219.44,1
65.34,53,37199.91,124.48,1
89.52,36,49043.81,211.63,0
54.43,39,58173.46,283.11,1
61.81,38,75097.17,207.56,0
52.11,48,84635.46,133.21,1
64.08,29,79982.24,273.42,0
74.2,40,43998.29,203.98,0
87.35,36,69312.57,310.78,1
86.39,33,65035.25,137.48,0
61.79,34,64625.18,104.73,1
48.67,34,47787.73,213.41,1
59.37,52,70720.01,204.15,1
72.3,54,66101.46,157.88,0
58.6,35,76267.69,237.84,1
43.69,44,58047.42,208.82,1
69.28,30,43310.43,183.94,0
57.78,36,92145.67,219.59,0
47.16,48,92207.07,255.43,1
66.61,44,37045.63,198.66,1
56.34,24,70991.17,220.99,1
79.59,26,65261.52,221.43,1
62.16,34,55868.16,207.37,1
73.74,41,34440.81,186.25,1
70.34,41,69031.5,206.25,1
22.7,42,46936.96,151.54,1
63.08,30,66037.94,222.05,0
65.25,47,76965.19,147.18,0
49.53,35,46522.05,267.2,1
65.74,24,37156.72,213.91,1
79.1,24,79145.44,153.02,0
53.42,53,58268.87,173.8,0
78.48,21,24462.79,202.19,1
54.85,38,52639.74,308.62,0
54.03,18,51176.39,154.13,1
62.09,55,73875.34,212.34,0
78.36,26,61090.83,130.0,1
47.86,55,71899.54,181.76,1
69.52,52,69349.27,182.97,0
38.95,26,59733.87,227.65,0
47.85,25,61713.65,200.95,1
75.74,46,47906.57,148.22,0
68.03,35,36381.46,209.53,1
87.14,39,24935.96,176.81,1
51.89,30,43999.46,156.65,0
92.08,36,73690.03,166.26,0
60.71,27,60817.92,265.98,1
67.88,34,59233.28,170.59,0
33.83,29,78856.92,169.73,0
87.76,33,85478.85,277.25,0
80.09,52,76047.86,196.3,1
41.89,26,62552.67,146.95,1
51.74,22,53545.05,225.05,1
70.07,25,60465.12,173.98,1
53.49,42,54060.07,319.69,0
84.71,37,23091.57,121.93,1
71.39,37,60147.77,149.6,1
50.38,50,52923.24,219.78,0
82.03,37,65578.47,168.66,1
65.43,33,75576.5,202.86,1
31.96,34,48386.31,228.62,0
52.3,32,85358.07,161.19,1
43.0,35,49159.5,168.42,1
72.86,56,48751.44,300.59,0
66.0,33,49587.19,190.66,0
58.52,40,56553.22,164.6,1
61.89,33,37967.58,174.11,1
51.6,18,45822.97,225.24,0
62.12,19,66497.17,89.46,1
63.27,53,75185.28,207.18,1
70.48,47,79338.59,99.49,1
81.95,35,71990.83,162.45,0
44.66,38,17014.35,261.52,1
59.25,36,68423.36,168.45,0
52.98,32,69756.13,200.1,1
75.63,26,59426.82,226.17,1
54.93,38,73598.56,268.04,1
54.64,37,38558.0,156.66,1
40.83,39,36689.74,218.68,1
44.05,33,65238.44,124.9,1
73.53,38,65026.48,205.92,1
72.5,33,50706.73,180.12,1
52.38,34,49271.92,263.61,0
59.33,35,39985.9,239.19,1
58.96,49,62074.42,262.68,0
52.23,35,51593.3,236.22,1
43.0,27,76138.57,191.25,0
73.29,22,56991.34,240.94,1
79.15,49,56498.02,224.94,0
30.68,32,51168.67,270.52,1
53.91,26,71843.28,182.5,0
69.9,36,64898.69,309.78,0
58.92,46,63880.09,204.09,0
51.6,43,38756.74,116.12,0
64.0,43,90973.96,232.25,1
68.06,44,62102.88,160.37,1
55.45,23,47997.1,116.67,0
57.55,22,35753.28,183.05,0
72.97,49,50680.86,217.62,0
56.67,21,50279.26,216.22,0
70.1,31,67054.04,230.41,0
81.38,35,78845.46,193.02,1
54.82,37,50703.33,225.48,0
73.0,42,37293.11,235.46,1
70.86,21,51613.85,250.34,0
66.08,21,51268.04,299.91,1
52.04,43,38732.98,256.04,0
52.47,36,46496.23,104.44,1
74.8,37,54056.54,192.98,0
51.3,38,57290.82,159.79,0
73.61,48,61552.34,187.76,0
68.52,41,44015.58,169.32,1
68.01,24,33534.44,190.38,0
81.05,39,66043.85,164.56,0
69.27,41,59721.45,198.49,1
79.88,43,34055.91,222.95,1
53.92,33,57873.98,191.58,0
85.74,38,54522.89,172.76,0
88.95,53,56721.01,193.86,0
46.82,56,85847.31,180.86,0
35.36,32,63695.77,197.17,1
74.82,34,39240.98,208.62,1
46.32,33,57096.37,243.82,0
63.55,37,46843.48,250.51,0
67.67,40,67284.62,207.42,1
70.31,31,68578.09,227.14,1
94.94,42,66482.77,174.09,1
77.26,32,63232.08,163.87,1
64.98,31,56230.93,201.83,1
52.36,18,38980.45,137.41,0
95.26,46,43342.93,94.52,1
69.23,18,46942.73,152.47,0
89.37,62,79762.33,161.28,1
70.43,35,26627.58,201.3,1
88.89,39,35301.61,266.48,1
88.01,34,43064.71,159.4,1
71.41,46,37102.51,158.44,0
48.27,37,45345.14,182.44,0
63.5,26,64229.21,189.86,1
42.16,45,60386.65,166.2,0
68.41,50,58809.15,156.96,0
78.47,42,62940.44,179.72,1
65.09,43,54227.94,121.47,1
43.05,51,66012.31,193.09,1
79.82,34,62179.7,221.58,0
78.17,31,68002.1,248.56,1
42.86,44,77023.95,127.31,1
65.01,20,80610.86,254.55,1
56.91,63,71899.55,224.99,0
69.2,24,63969.75,310.61,1
72.38,25,55000.03,221.38,1
55.44,29,73056.58,275.43,1
84.62,38,58263.45,282.13,1
76.15,39,42608.88,232.24,1
71.21,32,74380.15,206.46,1
93.31,20,76655.86,258.53,0
60.08,24,77567.92,178.51,0
70.15,25,66862.82,184.68,1
71.99,30,28887.67,199.0,1
67.89,43,68721.9,198.39,1
48.26,45,70983.52,189.71,1
84.43,30,73501.21,229.98,1
81.75,24,47592.46,274.76,1
28.03,25,45439.76,253.98,1
61.02,35,35606.41,195.77,1
42.82,41,43623.81,179.23,0
88.29,62,85001.44,192.35,1
71.14,23,80152.36,139.56,1
67.5,49,61805.77,253.73,0
39.29,41,56285.83,208.93,0
70.78,42,72876.23,255.59,0
49.16,33,56763.78,227.8,1
94.36,39,36921.24,237.1,1
104.18,49,60963.39,207.49,0
82.0,29,111222.0,152.33,0
46.97,38,69009.94,202.69,0
61.56,33,65799.15,241.35,1
62.61,22,58166.58,176.32,1
62.25,32,49879.63,165.93,1
52.93,51,39792.8,221.08,0
62.78,51,49214.51,103.55,0
72.53,26,45742.0,318.1,0
60.95,27,81393.07,274.08,1
59.47,35,48854.99,169.83,1
75.08,41,52004.97,253.01,0
72.01,36,51471.18,188.06,1
67.56,35,69453.11,269.64,0
66.98,36,33196.85,195.42,1
50.35,44,74879.51,141.85,1
63.91,26,71912.94,183.43,0
75.42,56,80121.17,198.82,1
76.75,28,49319.82,237.17,1
74.8,46,33757.36,188.78,1
47.47,18,81594.38,213.09,0
58.07,36,43831.55,133.95,1
62.93,27,50105.94,154.45,0
62.6,29,57238.03,208.22,0
48.2,42,76616.45,241.14,0
62.92,56,67588.25,153.1,1
50.89,29,39437.69,232.54,1
56.79,21,34475.24,337.88,0
76.53,31,73340.81,223.75,1
73.25,22,84270.04,232.8,1
78.17,24,45081.85,251.24,0
56.41,47,43684.48,185.81,0
72.58,44,58025.41,258.65,0
78.11,44,56873.01,196.65,0
46.47,34,46836.34,247.01,1
78.44,36,49607.76,291.76,0
28.94,49,40605.52,279.75,0
68.27,40,63125.13,155.94,0
65.69,23,74134.97,184.76,1
62.04,41,46366.38,233.25,0
48.67,24,47469.45,168.44,1
42.4,52,53761.79,181.88,0
56.31,46,48982.11,180.32,0
65.9,39,50834.4,234.76,0
58.41,41,55255.96,82.14,0
72.26,31,70709.76,208.8,0
50.68,38,59468.93,109.28,0
34.48,41,71973.09,208.91,1
67.06,42,38906.38,183.1,1
85.63,30,36215.01,257.44,0
65.22,48,42862.27,244.8,1
80.18,29,48542.88,200.78,1
44.74,35,61013.96,163.19,0
84.27,19,56803.83,130.06,1
66.57,41,38911.05,180.84,0
54.02,37,88165.01,227.35,0
75.08,42,75467.12,160.48,1
91.92,28,44527.99,219.2,1
56.39,54,35044.86,300.17,0
69.62,18,67242.64,132.77,0
76.25,33,43485.58,226.65,0
52.06,54,61522.81,112.11,0
77.73,43,85403.27,168.04,1
71.19,42,67528.63,235.45,0
63.13,48,54769.89,162.67,1
56.77,23,61199.57,237.89,0
42.4,37,42370.84,248.75,1
72.59,35,36350.39,207.09,1
61.45,47,55614.92,190.8,1
50.88,42,43392.26,179.33,1
65.59,21,80179.31,308.09,1
60.93,38,47681.74,240.73,1
62.92,26,89202.42,203.16,0
65.01,27,50534.15,301.24,0
112.54,32,68979.2,115.06,1
70.92,45,44874.46,304.48,0
75.48,43,24533.05,249.21,0
70.22,32,69290.23,154.43,0
58.7,18,77195.85,189.46,1
82.43,30,64412.86,175.93,1
61.03,26,88182.12,248.72,1
62.14,32,60709.92,238.52,1
62.13,30,56191.48,76.52,0
46.88,32,41010.01,273.06,0
47.29,46,60551.9,228.28,0
55.88,42,63576.49,140.21,1
73.34,28,58779.12,190.33,0
33.52,56,61760.57,139.09,1
67.84,24,91519.28,195.68,0
87.81,33,64609.17,225.17,1
65.52,33,63883.93,182.67,1
50.5,36,84234.43,287.16,1
90.94,36,57150.08,256.83,0
